"","NAME","ARTIST NAME","Genius Lyrics Link","Twitter Name","Recent Twitter Sentiment"
"37","Burn It Down","Daughter","<a href='https://genius.com/Daughter-burn-it-down-annotated' target='_blank'>https://genius.com/Daughter-burn-it-down-annotated</a>","ohdaughter",0.594793713163065
"38","Flaws","Daughter","<a href='https://genius.com/Daughter-flaws-lyrics' target='_blank'>https://genius.com/Daughter-flaws-lyrics</a>","ohdaughter",0.594793713163065
"39","Hope","Daughter","<a href='https://genius.com/Daughter-hope-lyrics' target='_blank'>https://genius.com/Daughter-hope-lyrics</a>","ohdaughter",0.594793713163065
"40","The Right Way Around","Daughter","<a href='https://genius.com/Daughter-the-right-way-around-lyrics' target='_blank'>https://genius.com/Daughter-the-right-way-around-lyrics</a>","ohdaughter",0.594793713163065
"41","Witches","Daughter","<a href='https://genius.com/Daughter-witches-lyrics' target='_blank'>https://genius.com/Daughter-witches-lyrics</a>","ohdaughter",0.594793713163065
"42","Departure","Daughter","<a href='https://genius.com/Daughter-departure-lyrics' target='_blank'>https://genius.com/Daughter-departure-lyrics</a>","ohdaughter",0.594793713163065
"43","All I Wanted","Daughter","<a href='https://genius.com/Daughter-all-i-wanted-lyrics' target='_blank'>https://genius.com/Daughter-all-i-wanted-lyrics</a>","ohdaughter",0.594793713163065
"44","I Can't Live Here Anymore","Daughter","<a href='https://genius.com/Daughter-i-cant-live-here-anymore-lyrics' target='_blank'>https://genius.com/Daughter-i-cant-live-here-anymore-lyrics</a>","ohdaughter",0.594793713163065
"45","Dreams Of William","Daughter","<a href='https://genius.com/Daughter-dreams-of-william-lyrics' target='_blank'>https://genius.com/Daughter-dreams-of-william-lyrics</a>","ohdaughter",0.594793713163065
"46","Improve","Daughter","<a href='https://genius.com/Daughter-improve-lyrics' target='_blank'>https://genius.com/Daughter-improve-lyrics</a>","ohdaughter",0.594793713163065
"47","Voices","Daughter","<a href='https://genius.com/Daughter-voices-lyrics' target='_blank'>https://genius.com/Daughter-voices-lyrics</a>","ohdaughter",0.594793713163065
"48","A Hole In The Earth","Daughter","<a href='https://genius.com/Daughter-a-hole-in-the-earth-lyrics' target='_blank'>https://genius.com/Daughter-a-hole-in-the-earth-lyrics</a>","ohdaughter",0.594793713163065
"49","Life Changes","Thomas Rhett","<a href='https://genius.com/Thomas-rhett-life-changes-lyrics' target='_blank'>https://genius.com/Thomas-rhett-life-changes-lyrics</a>","thomasrhett",0.449915824915825
"50","If I'm Lucky","Jason Derulo","<a href='https://genius.com/Jason-derulo-if-im-lucky-lyrics' target='_blank'>https://genius.com/Jason-derulo-if-im-lucky-lyrics</a>","jasonderulo",0.25
"51","Gucci Gang","Lil Pump","<a href='https://genius.com/Lil-pump-gucci-gang-lyrics' target='_blank'>https://genius.com/Lil-pump-gucci-gang-lyrics</a>","Lilpumpjetskiii",0.0114772727272727
"52","Girls On Boys","Galantis, ROZES","<a href='https://genius.com/Galantis-and-rozes-girls-on-boys-lyrics' target='_blank'>https://genius.com/Galantis-and-rozes-girls-on-boys-lyrics</a>","No Twitter Name",0.177812113720643
"53","Muy Personal","Yandel, J Balvin","<a href='https://genius.com/Yandel-muy-personal-lyrics' target='_blank'>https://genius.com/Yandel-muy-personal-lyrics</a>","No Twitter Name",-0.0370652173913043
